country,2015,2016,2017,contribute
Switzerland,7.587,7.509,7.494,scroe
Iceland,7.561,7.501,7.504,scroe
Denmark,7.527,7.526,7.522,scroe
Norway,7.522,7.498,7.537,scroe
Canada,7.427,7.404,7.316,scroe
Finland,7.406,7.413,7.469,scroe
Netherlands,7.378,7.339,7.377,scroe
Sweden,7.364,7.291,7.284,scroe
New Zealand,7.286,7.334,7.314,scroe
Australia,7.284,7.313,7.284,scroe
Israel,7.278,7.267,7.213,scroe
Costa Rica,7.226,7.087,7.079,scroe
Austria,7.2,7.119,7.006,scroe
Mexico,7.187,6.778,6.578,scroe
United States,7.119,7.104,6.993,scroe
Brazil,6.983,6.952,6.635,scroe
Luxembourg,6.946,6.871,6.863,scroe
Ireland,6.94,6.907,6.977,scroe
Belgium,6.937,6.929,6.891,scroe
United Arab Emirates,6.901,6.573,6.648,scroe
United Kingdom,6.867,6.725,6.714,scroe
Oman,6.853,nan,nan,scroe
Venezuela,6.81,6.084,5.25,scroe
Singapore,6.798,6.739,6.572,scroe
Panama,6.786,6.701,6.452,scroe
Germany,6.75,6.994,6.951,scroe
Chile,6.67,6.705,6.652,scroe
Qatar,6.611,6.375,6.375,scroe
France,6.575,6.478,6.442,scroe
Argentina,6.574,6.65,6.599,scroe
Czech Republic,6.505,6.596,6.609,scroe
Uruguay,6.485,6.545,6.454,scroe
Colombia,6.477,6.481,6.357,scroe
Thailand,6.455,6.474,6.424,scroe
Saudi Arabia,6.411,6.379,6.344,scroe
Spain,6.329,6.361,6.403,scroe
Malta,6.302,6.488,6.527,scroe
Taiwan,6.298,6.379,6.422,scroe
Kuwait,6.295,6.239,6.105,scroe
Suriname,6.269,6.269,nan,scroe
Trinidad and Tobago,6.168,6.168,6.168,scroe
El Salvador,6.13,6.068,6.003,scroe
Guatemala,6.123,6.324,6.454,scroe
Uzbekistan,6.003,5.987,5.971,scroe
Slovakia,5.995,6.078,6.098,scroe
Japan,5.987,5.921,5.92,scroe
South Korea,5.984,5.835,5.838,scroe
Ecuador,5.975,5.976,6.008,scroe
Bahrain,5.96,6.218,6.087,scroe
Italy,5.948,5.977,5.964,scroe
Bolivia,5.89,5.822,5.823,scroe
Moldova,5.889,5.897,5.838,scroe
Paraguay,5.878,5.538,5.493,scroe
Kazakhstan,5.855,5.919,5.819,scroe
Slovenia,5.848,5.768,5.758,scroe
Lithuania,5.833,5.813,5.902,scroe
Nicaragua,5.828,5.992,6.071,scroe
Peru,5.824,5.743,5.715,scroe
Belarus,5.813,5.802,5.569,scroe
Poland,5.791,5.835,5.973,scroe
Malaysia,5.77,6.005,6.084,scroe
Croatia,5.759,5.488,5.293,scroe
Libya,5.754,5.615,5.525,scroe
Russia,5.716,5.856,5.963,scroe
Jamaica,5.709,5.51,5.311,scroe
North Cyprus,5.695,5.771,5.81,scroe
Cyprus,5.689,5.546,5.621,scroe
Algeria,5.605,6.355,5.872,scroe
Kosovo,5.589,5.401,5.279,scroe
Turkmenistan,5.548,5.658,5.822,scroe
Mauritius,5.477,5.648,5.629,scroe
Hong Kong,5.474,5.458,5.472,scroe
Estonia,5.429,5.517,5.611,scroe
Indonesia,5.399,5.314,5.262,scroe
Vietnam,5.36,5.061,5.074,scroe
Turkey,5.332,5.389,5.5,scroe
Kyrgyzstan,5.286,5.185,5.004,scroe
Nigeria,5.268,4.875,5.074,scroe
Bhutan,5.253,5.196,5.011,scroe
Azerbaijan,5.212,5.291,5.234,scroe
Pakistan,5.194,5.132,5.269,scroe
Jordan,5.192,5.303,5.336,scroe
Montenegro,5.192,5.161,5.237,scroe
China,5.14,5.245,5.273,scroe
Zambia,5.129,4.795,4.514,scroe
Romania,5.124,5.528,5.825,scroe
Serbia,5.123,5.177,5.395,scroe
Portugal,5.102,5.123,5.195,scroe
Latvia,5.098,5.56,5.85,scroe
Philippines,5.073,5.279,5.43,scroe
Somaliland region,5.057,5.057,nan,scroe
Morocco,5.013,5.151,5.235,scroe
Macedonia,5.007,5.121,5.175,scroe
Mozambique,4.971,nan,4.55,scroe
Albania,4.959,4.655,4.644,scroe
Bosnia and Herzegovina,4.949,5.163,5.182,scroe
Lesotho,4.898,nan,3.808,scroe
Dominican Republic,4.885,5.155,5.23,scroe
Laos,4.876,4.876,nan,scroe
Mongolia,4.874,4.907,4.955,scroe
Swaziland,4.867,nan,nan,scroe
Greece,4.857,5.033,5.227,scroe
Lebanon,4.839,5.129,5.225,scroe
Hungary,4.8,5.145,5.324,scroe
Honduras,4.788,4.871,5.181,scroe
Tajikistan,4.786,4.996,5.041,scroe
Tunisia,4.739,5.045,4.805,scroe
Palestinian Territories,4.715,4.754,4.775,scroe
Bangladesh,4.694,4.643,4.608,scroe
Iran,4.686,4.813,4.692,scroe
Ukraine,4.681,4.324,4.096,scroe
Iraq,4.677,4.575,4.497,scroe
South Africa,4.642,4.459,4.829,scroe
Ghana,4.633,4.276,4.12,scroe
Zimbabwe,4.61,4.193,3.875,scroe
Liberia,4.571,3.622,3.533,scroe
India,4.565,4.404,4.315,scroe
Sudan,4.55,4.139,4.139,scroe
Haiti,4.518,4.028,3.603,scroe
Congo (Kinshasa),4.517,4.272,4.28,scroe
